3 906
0 1 100000
4 1 100000
0 2 100000
4 2 100000
0 3 100000
4 3 100000
2 1 9383
0 3 6915
4 2 5386
2 2 1421
3 4 8690
1 0 3926
1 1 9172
4 2 5368
2 0 5782
0 2 5123
2 2 3929
2 4 3058
1 1 1393
3 4 8042
4 4 4421
4 3 8537
3 0 8315
0 1 3526
2 3 9956
1 1 9170
4 0 2305
0 1 6327
3 4 846
0 4 5857
4 0 9582
4 4 3367
2 0 4043
3 1 6808
3 4 5788
4 4 2651
1 0 9932
2 4 3368
4 1 6226
0 0 7539
2 3 1434
2 2 6601
2 2 3317
0 1 756
0 1 4286
4 4 9689
1 4 8440
1 2 8117
4 0 4481
1 2 8927
1 3 9497
3 1 6965
3 4 6219
4 2 2871
0 4 9503
0 3 3368
1 4 6340
0 3 723
1 1 2846
3 4 3555
1 3 7764
0 3 2350
4 4 7034
1 2 4914
2 1 3743
1 4 8365
2 1 1432
2 0 9228
3 1 1474
2 4 4395
3 3 8235
1 3 4428
1 4 5928
3 3 2404
1 3 4613
3 4 6840
4 3 5128
1 2 7917
0 3 3324
4 0 2183
4 0 9772
4 0 5590
4 1 2954
4 2 8082
0 2 197
1 3 8804
4 3 3622
3 1 7343
1 2 4340
1 0 3810
3 0 5661
1 0 1305
2 1 9444
1 3 3465
4 3 8282
4 2 7637
2 1 2600
0 4 1899
3 1 7468
0 1 7131
0 4 8933
1 4 163
4 1 8899
3 3 3773
1 0 7190
0 4 6466
1 4 2090
2 1 5542
4 1 7445
2 2 8418
4 2 3348
0 1 2009
1 2 6342
2 3 9301
4 0 5321
4 1 4599
0 1 5939
3 0 5667
4 0 1127
4 0 6658
1 4 2422
4 0 4081
2 2 9292
0 0 3850
0 4 1222
3 3 6042
4 0 2298
1 4 2590
2 1 8819
4 4 1155
3 4 379
0 0 1776
4 2 1860
0 3 5884
4 2 7621
4 1 613
4 4 1326
1 2 8202
2 1 6784
4 3 868
3 3 8872
3 1 498
3 3 7753
3 3 3333
2 4 2890
4 3 1746
3 1 4500
0 4 9797
3 3 3303
2 3 2497
2 0 7686
3 0 3996
1 4 9157
1 4 2460
3 4 460
3 0 8027
4 2 7556
3 4 7697
3 2 1039
1 0 6403
4 3 7647
4 0 5151
0 2 4339
4 4 6127
0 4 49
0 3 6429
3 0 3177
4 4 7971
2 3 5367
4 3 5795
2 0 2829
4 1 5340
1 2 3826
2 0 6042
1 1 8023
0 0 6309
2 2 8996
1 0 4234
4 2 4524
3 0 3168
0 1 6312
4 1 4346
3 2 4916
0 1 3529
1 0 2647
3 1 9080
2 2 857
0 4 1886
2 0 3512
4 0 9479
0 4 6189
3 0 7641
3 3 8987
4 0 4566
1 2 6856
2 4 2260
2 4 7205
3 0 8518
3 3 6873
3 4 7637
2 3 6607
4 1 9314
3 4 1100
3 0 9438
2 3 3074
3 3 3681
2 4 270
3 4 1839
3 4 2622
2 1 9847
2 0 6682
0 2 5791
4 2 1521
1 2 1491
2 1 9231
0 4 3740
1 0 4098
2 1 7516
1 4 2231
0 3 5404
0 1 9218
4 2 9862
1 0 4977
3 1 9904
2 4 9207
