1
100000 100000
A 46.25% 62.02% 89.73%
B 59.16% 20.38% 54.69%
C 70.04% 55.33% 34.05%
D 49.92% 98.53% 24.69%
E 32.94% 98.19% 3.61%
F 94.04% 40.36% 71.95%
G 17.11% 54.04% 87.67%
H 37.51% 31.00% 32.14%
I 49.93% 54.37% 21.39%
J 62.70% 95.72% 17.59%
BA 24.72% 96.23% 37.89%
BB 55.89% 61.70% 94.93%
BC 22.00% 95.76% 54.08%
BD 20.52% 31.23% 24.11%
BE 29.49% 34.84% 84.82%
BF 69.85% 17.58% 28.55%
BG 34.68% 5.24% 33.37%
BH 65.68% 48.18% 50.48%
BI 30.83% 69.57% 88.00%
BJ 37.33% 87.16% 48.71%
CA 33.56% 25.04% 11.40%
CB 6.04% 30.76% 36.12%
CC 12.58% 84.84% 2.79%
CD 54.61% 19.74% 24.79%
CE 89.45% 4.55% 56.10%
CF 17.81% 43.89% 85.60%
CG 33.85% 77.27% 66.23%
CH 82.03% 27.74% 11.69%
CI 62.38% 26.52% 77.37%
CJ 49.53% 75.23% 8.20%
DA 85.36% 86.64% 45.53%
DB 16.11% 33.54% 89.88%
DC 11.74% 36.34% 6.71%
DD 42.27% 71.92% 19.29%
DE 57.61% 28.02% 73.90%
DF 1.50% 24.40% 74.14%
DG 78.77% 1.41% 2.73%
DH 17.29% 13.11% 47.37%
DI 43.82% 1.26% 40.18%
DJ 19.04% 20.25% 2.55%
EA 16.46% 76.58% 62.87%
EB 50.01% 66.45% 48.23%
EC 97.14% 83.95% 75.13%
ED 79.84% 14.03% 97.66%
EE 18.64% 98.72% 39.92%
EF 43.04% 83.64% 97.54%
EG 55.25% 86.38% 9.82%
EH 68.36% 44.53% 88.59%
EI 69.62% 84.72% 16.66%
EJ 89.88% 87.27% 60.48%
FA 77.24% 50.14% 90.32%
FB 54.47% 9.15% 17.56%
FC 38.42% 95.07% 78.36%
FD 52.45% 92.73% 75.49%
FE 51.16% 43.43% 66.12%
FF 45.59% 40.96% 84.76%
FG 31.96% 61.57% 27.80%
FH 76.49% 60.94% 93.84%
FI 71.99% 77.61% 62.19%
FJ 59.26% 38.08% 42.59%
GA 20.18% 39.18% 43.25%
GB 40.12% 56.75% 20.48%
GC 35.18% 35.10% 74.96%
GD 27.90% 21.38% 13.37%
GE 82.13% 87.50% 76.61%
GF 23.08% 72.25% 38.55%
GG 84.66% 10.83% 84.14%
GH 45.59% 4.66% 26.88%
GI 33.98% 77.64% 14.16%
GJ 82.86% 20.23% 86.15%
HA 22.03% 74.27% 56.19%
HB 89.57% 94.76% 87.16%
HC 35.46% 80.50% 27.27%
HD 56.84% 4.65% 62.46%
HE 55.12% 81.26% 1.14%
HF 38.15% 30.59% 83.27%
HG 48.99% 25.52% 17.14%
HH 64.44% 63.19% 12.58%
HI 52.87% 88.14% 68.96%
HJ 83.89% 74.29% 2.94%
IA 58.15% 41.26% 85.80%
IB 63.69% 28.42% 18.61%
IC 44.18% 66.48% 8.18%
ID 48.83% 28.93% 43.64%
IE 40.87% 40.87% 11.26%
IF 82.26% 24.13% 66.38%
