6 912
0 1 100000
7 1 100000
0 2 100000
7 2 100000
0 3 100000
7 3 100000
0 4 100000
7 4 100000
0 5 100000
7 5 100000
0 6 100000
7 6 100000
1 6 9383
7 1 6915
1 4 5386
3 2 1421
3 3 8690
2 4 3926
3 0 9172
5 7 5368
6 2 5782
7 3 5123
6 2 3929
7 5 3058
3 0 1393
5 5 8042
0 7 4421
4 6 8537
5 2 8315
4 3 3526
6 1 9956
1 4 9170
4 5 2305
1 0 6327
1 1 846
7 4 5857
6 1 9582
4 2 3367
7 6 4043
2 4 6808
3 0 5788
7 2 2651
4 4 9932
4 3 3368
6 2 6226
2 3 7539
3 2 1434
6 1 6601
4 4 3317
0 5 756
1 1 4286
3 4 9689
7 1 8440
3 1 8117
5 3 4481
0 7 8927
2 1 9497
3 2 6965
0 0 6219
5 4 2871
6 3 9503
3 4 3368
4 5 6340
5 2 723
1 3 2846
0 3 3555
1 4 7764
4 1 2350
4 4 7034
0 3 4914
3 3 3743
0 3 8365
5 7 1432
7 3 9228
2 1 1474
5 5 4395
2 1 8235
3 7 4428
0 1 5928
3 3 2404
6 2 4613
2 0 6840
1 0 5128
4 5 7917
6 7 3324
3 2 2183
4 5 9772
3 1 5590
5 2 2954
0 6 8082
3 3 197
3 4 8804
3 4 3622
0 2 7343
7 6 4340
1 5 3810
6 2 5661
0 0 1305
2 2 9444
0 4 3465
4 2 8282
0 6 7637
4 4 2600
6 3 1899
5 7 7468
2 1 7131
4 6 8933
5 7 163
7 4 8899
4 5 3773
6 7 7190
4 4 6466
0 4 2090
3 0 5542
3 4 7445
4 7 8418
3 4 3348
2 0 2009
6 3 6342
4 1 9301
3 7 5321
0 1 4599
4 3 5939
4 1 5667
0 6 1127
0 0 6658
4 5 2422
4 6 4081
0 4 9292
1 1 3850
0 3 1222
1 2 6042
4 6 2298
5 1 2590
4 0 8819
4 2 1155
1 1 379
7 2 1776
3 6 1860
5 1 5884
0 7 7621
2 1 613
0 3 1326
2 2 8202
2 5 6784
5 0 868
6 4 8872
0 4 498
7 0 7753
0 5 3333
7 2 2890
1 0 1746
4 6 4500
6 1 9797
3 1 3303
4 5 2497
0 5 7686
4 7 3996
4 1 9157
1 6 2460
4 0 460
4 2 8027
2 6 7556
3 3 7697
4 2 1039
1 4 6403
7 2 7647
6 7 5151
7 4 4339
5 0 6127
5 4 49
7 7 6429
6 4 3177
1 5 7971
4 4 5367
0 7 5795
2 6 2829
1 5 5340
5 0 3826
5 0 6042
1 1 8023
1 6 6309
5 7 8996
2 2 4234
6 1 4524
6 5 3168
4 2 6312
2 6 4346
2 0 4916
2 2 3529
3 2 2647
1 7 9080
0 3 857
3 6 1886
4 2 3512
1 2 9479
3 2 6189
1 4 7641
2 0 8987
4 2 4566
6 1 6856
5 1 2260
1 3 7205
7 1 8518
1 2 6873
3 1 7637
5 6 6607
1 7 9314
2 3 1100
4 1 9438
5 1 3074
6 5 3681
1 3 270
3 1 1839
5 2 2622
6 7 9847
4 6 6682
3 1 5791
6 5 1521
7 3 1491
1 5 9231
6 6 3740
1 5 4098
2 4 7516
4 3 2231
4 2 5404
2 5 9218
3 4 9862
0 5 4977
3 0 9904
1 7 9207
7 3 9744
4 6 127
1 2 7560
4 1 563
6 5 8711
3 7 3291
0 5 3614
5 6 8993
6 6 6882
5 6 6717
1 6 1574
7 5 1486
1 6 3074
2 1 8179
7 0 5775
6 4 5710
3 2 1017
1 3 1137
0 5 3943
6 3 925
4 1 4018
2 7 6963
0 2 3858
1 5 8571
1 5 9685
5 3 2604
7 4 9250
3 6 9485
0 5 4639
3 2 967
5 4 7677
4 0 865
6 2 7955
4 6 9211
