20 20
1 1 20 20
W NWS NWS EWS N x NW EWS NW N NE W ES EWS S S x EWS EWS S
x EWS S W NE NEWS NS x ES EWS S x W x x NS NES WS E NW
NWS S NE EW NWS NEWS NEW WS S x NE S x WS NWS W N x x NES
S NE N S E W E S NS x NEWS W x NWS NWS E EW S NES WS
WS EWS x E x NS S W NE E S E NWS x S ES NW S WS x
WS N NWS W N EW NW x WS S W ES S N NS W NWS x E S
NE N NE NWS NEWS NS E E S N NE NS E EW x N S NE E NE
NS x NEW S x x N NE NW x S NWS x ES EW x E WS NES NS
E x S W W NES x NS NES WS E WS NS S N ES EW EW S E
NS x ES W NES N W EW W x x NW EW E EWS WS W W E WS
NW NS S NEWS x EWS NS NEW N NE W WS WS ES NE W ES NEWS x NEW
NW E W EW ES NE E NEW EWS NW NWS NE N E NEWS NEW S S E x
ES S WS x NW S E ES EWS W EW NEW WS NW NES NEW NEWS NEW NEWS W
E x W W NEWS NW NW NWS E x EW WS NES NW WS EWS W ES x NW
ES W ES WS NW W E NW EWS x E NS ES WS NS NS W NEWS NS x
NW NES x N N NES NEW E WS x NEW NW NEW x x NS NWS NE NEWS NEW
N S x NWS NE WS S EWS S EWS x WS NW WS EWS WS NS NW E EW
EWS S E NW NEWS EWS NES WS EW WS NE NE NS x NS x W N W N
ES NWS NEW NW E NE N NWS W EWS S x x EWS x W S NES EW S
W E NE W W S x EW x W NE NW S E EWS NES NS ES E ES
0 0
