500 500 182
1 1 7 D
7 1 7 D
13 1 11 R
13 11 2 D
14 11 8 R
14 18 5 D
18 18 5 D
22 18 8 D
29 18 3 D
31 18 5 D
35 18 10 R
35 27 2 R
35 28 8 D
42 28 10 D
51 28 5 R
51 32 9 R
51 40 6 D
56 40 2 R
56 41 6 D
61 41 9 R
61 49 2 R
61 50 2 R
61 51 2 D
62 51 6 R
62 56 6 D
67 56 5 R
67 60 9 D
75 60 11 D
85 60 3 R
85 62 3 D
87 62 11 R
87 72 6 R
87 77 2 R
87 78 8 D
94 78 9 D
102 78 11 D
112 78 4 R
112 81 9 R
112 89 3 R
112 91 4 R
112 94 4 D
115 94 4 R
115 97 11 R
115 107 9 R
115 115 11 D
125 115 6 D
130 115 9 D
138 115 11 D
148 115 8 D
155 115 2 D
156 115 7 R
156 121 9 R
156 129 10 R
156 138 7 R
156 144 11 R
156 154 5 R
156 158 2 R
156 159 5 R
156 163 3 R
156 165 5 D
160 165 6 D
165 165 11 R
165 175 3 D
167 175 6 R
167 180 5 D
171 180 8 R
171 187 6 D
176 187 6 D
181 187 7 R
181 193 10 R
181 202 7 R
181 208 7 R
181 214 3 D
183 214 6 D
188 214 10 R
188 223 9 R
188 231 11 R
188 241 2 R
188 242 11 R
188 252 8 R
188 259 2 R
188 260 8 R
188 267 7 D
194 267 4 R
194 270 9 R
194 278 3 R
194 280 3 R
194 282 5 D
198 282 9 D
206 282 5 D
210 282 4 D
213 282 7 R
213 288 2 R
213 289 5 D
217 289 9 R
217 297 7 D
223 297 11 R
223 307 9 D
231 307 7 D
237 307 7 D
243 307 9 D
251 307 2 D
252 307 4 D
255 307 11 D
265 307 5 R
265 311 3 D
267 311 3 R
267 313 10 R
267 322 6 D
272 322 5 D
276 322 6 D
281 322 7 D
287 322 10 D
296 322 8 D
303 322 9 D
311 322 10 D
320 322 6 R
320 327 9 R
320 335 7 D
326 335 10 D
335 335 6 D
340 335 8 D
347 335 10 R
347 344 10 R
347 353 4 R
347 356 7 D
353 356 4 D
356 356 4 D
359 356 11 R
359 366 10 R
359 375 3 D
361 375 8 D
368 375 2 R
368 376 6 D
373 376 2 R
373 377 4 R
373 380 7 D
379 380 3 D
381 380 2 D
382 380 5 D
386 380 6 D
391 380 4 D
394 380 5 D
398 380 4 R
398 383 10 R
398 392 2 R
398 393 3 D
400 393 6 R
400 398 6 R
400 403 9 D
408 403 11 D
418 403 9 R
418 411 3 D
420 411 4 D
423 411 11 D
433 411 10 D
442 411 7 R
442 417 3 R
442 419 4 D
445 419 2 R
445 420 2 D
446 420 11 R
446 430 10 D
455 430 3 R
455 432 7 D
461 432 7 R
461 438 10 R
461 447 10 R
461 456 9 D
469 456 9 D
477 456 5 R
477 460 9 R
477 468 9 D
485 468 8 D
492 468 8 D
499 468 2 R
499 469 2 R
499 470 10 R
499 479 4 R
499 482 11 R
499 492 7 R
499 498 2 R
